0	10	1	0	-Infinity
-0	10	1	0	-Infinity
1	10	1	0	0
2	10	1	0	0.4
3	10	1	0	0.5
10	10	1	0	1
100	10	1	0	2
1000	10	1	0	3
0.5	10	1	0	-0.4
0.1	10	1	0	-1
1e-7	10	1	0	-7
1e21	10	1	0	30
1e100	10	1	0	100
123456.7891011	10	1	0	6
7	10	1	0	0.9
0.9999999999	10	1	0	-0.00000000005
4503599627370502	10	1	0	20
-1	10	1	0	NaN
NaN	10	1	0	NaN
Infinity	10	1	0	Infinity
-Infinity	10	1	0	NaN
1048576	10	1	0	7
8	10	1	0	1
16	10	1	0	2
0.3333333333333333	10	1	0	-0.5
0	10	1	1	-Infinity
-0	10	1	1	-Infinity
1	10	1	1	0
2	10	1	1	0.3
3	10	1	1	0.4
10	10	1	1	1
100	10	1	1	2
1000	10	1	1	3
0.5	10	1	1	-0.3
0.1	10	1	1	-1
1e-7	10	1	1	-7
1e21	10	1	1	20
1e100	10	1	1	100
123456.7891011	10	1	1	5
7	10	1	1	0.8
0.9999999999	10	1	1	-0.00000000004
4503599627370502	10	1	1	10
-1	10	1	1	NaN
NaN	10	1	1	NaN
Infinity	10	1	1	Infinity
-Infinity	10	1	1	NaN
1048576	10	1	1	6
8	10	1	1	0.9
16	10	1	1	1
0.3333333333333333	10	1	1	-0.4
0	10	1	3	-Infinity
-0	10	1	3	-Infinity
1	10	1	3	0
2	10	1	3	0.3
3	10	1	3	0.4
10	10	1	3	1
100	10	1	3	2
1000	10	1	3	3
0.5	10	1	3	-0.4
0.1	10	1	3	-1
1e-7	10	1	3	-7
1e21	10	1	3	20
1e100	10	1	3	100
123456.7891011	10	1	3	5
7	10	1	3	0.8
0.9999999999	10	1	3	-0.00000000005
4503599627370502	10	1	3	10
-1	10	1	3	NaN
NaN	10	1	3	NaN
Infinity	10	1	3	Infinity
-Infinity	10	1	3	NaN
1048576	10	1	3	6
8	10	1	3	0.9
16	10	1	3	1
0.3333333333333333	10	1	3	-0.5
0	10	1	4	-Infinity
-0	10	1	4	-Infinity
1	10	1	4	0
2	10	1	4	0.3
3	10	1	4	0.5
10	10	1	4	1
100	10	1	4	2
1000	10	1	4	3
0.5	10	1	4	-0.3
0.1	10	1	4	-1
1e-7	10	1	4	-7
1e21	10	1	4	20
1e100	10	1	4	100
123456.7891011	10	1	4	5
7	10	1	4	0.8
0.9999999999	10	1	4	-0.00000000004
4503599627370502	10	1	4	20
-1	10	1	4	NaN
NaN	10	1	4	NaN
Infinity	10	1	4	Infinity
-Infinity	10	1	4	NaN
1048576	10	1	4	6
8	10	1	4	0.9
16	10	1	4	1
0.3333333333333333	10	1	4	-0.5
0	10	1	6	-Infinity
-0	10	1	6	-Infinity
1	10	1	6	0
2	10	1	6	0.3
3	10	1	6	0.5
10	10	1	6	1
100	10	1	6	2
1000	10	1	6	3
0.5	10	1	6	-0.3
0.1	10	1	6	-1
1e-7	10	1	6	-7
1e21	10	1	6	20
1e100	10	1	6	100
123456.7891011	10	1	6	5
7	10	1	6	0.8
0.9999999999	10	1	6	-0.00000000004
4503599627370502	10	1	6	20
-1	10	1	6	NaN
NaN	10	1	6	NaN
Infinity	10	1	6	Infinity
-Infinity	10	1	6	NaN
1048576	10	1	6	6
8	10	1	6	0.9
16	10	1	6	1
0.3333333333333333	10	1	6	-0.5
0	10	5	0	-Infinity
-0	10	5	0	-Infinity
1	10	5	0	0
2	10	5	0	0.30103
3	10	5	0	0.47713
10	10	5	0	1
100	10	5	0	2
1000	10	5	0	3
0.5	10	5	0	-0.30103
0.1	10	5	0	-1
1e-7	10	5	0	-7
1e21	10	5	0	21
1e100	10	5	0	100
123456.7891011	10	5	0	5.0916
7	10	5	0	0.8451
0.9999999999	10	5	0	-0.00000000004343
4503599627370502	10	5	0	15.654
-1	10	5	0	NaN
NaN	10	5	0	NaN
Infinity	10	5	0	Infinity
-Infinity	10	5	0	NaN
1048576	10	5	0	6.0206
8	10	5	0	0.90309
16	10	5	0	1.2042
0.3333333333333333	10	5	0	-0.47713
0	10	5	1	-Infinity
-0	10	5	1	-Infinity
1	10	5	1	0
2	10	5	1	0.30102
3	10	5	1	0.47712
10	10	5	1	1
100	10	5	1	2
1000	10	5	1	3
0.5	10	5	1	-0.30102
0.1	10	5	1	-1
1e-7	10	5	1	-7
1e21	10	5	1	21
1e100	10	5	1	100
123456.7891011	10	5	1	5.0915
