neg	0	1	0	-1	0	0	-1
neg	-1	1	0	-1	1	0	1
neg	1.5	1	0	-1	1,5000000	0	-1
neg	-2.5	1	0	-1	2,5000000	0	1
neg	9.99	1	0	-1	9,9900000	0	-1
neg	-99.5	1	0	-1	99,5000000	1	1
neg	0.0000001	1	0	-1	1	-7	-1
neg	1e21	1	0	-1	1	21	-1
neg	1e100	1	0	-1	100	100	-1
neg	-99999999999999999999.5	1	0	-1	999999,9999999,9999999,5000000	19	1
neg	Infinity	1	0	-1		NaN	-1
neg	-0	1	1	-1	0	0	1
neg	0.5	1	1	-1	5000000	-1	-1
neg	-1.5	1	1	-1	1,5000000	0	1
neg	0.1	1	1	-1	1000000	-1	-1
neg	-9.99	1	1	-1	9,9900000	0	1
neg	9999999.9999999	1	1	-1	9999999,9999999	6	-1
neg	123456.7891011	1	1	-1	123456,7891011	5	-1
neg	1e-21	1	1	-1	1	-21	-1
neg	0.000000000123456789	1	1	-1	12345,6789000	-10	-1
neg	0.99999999999999999999	1	1	-1	9999999,9999999,9999990	-1	-1
neg	-Infinity	1	1	-1		NaN	1
neg	1	1	2	-1	1	0	-1
neg	-0.5	1	2	-1	5000000	-1	1
neg	2.5	1	2	-1	2,5000000	0	-1
neg	-0.1	1	2	-1	1000000	-1	1
neg	99.5	1	2	-1	99,5000000	1	-1
neg	10000000	1	2	-1	1	7	-1
neg	-123456.7891011	1	2	-1	123456,7891011	5	1
neg	5e-324	1	2	-1	500000	-324	-1
neg	99999999999999999999.5	1	2	-1	999999,9999999,9999999,5000000	19	-1
neg	NaN	1	2	-1		NaN	NaN
neg	0	1	3	-1	0	0	-1
neg	-1	1	3	-1	1	0	1
neg	1.5	1	3	-1	1,5000000	0	-1
neg	-2.5	1	3	-1	2,5000000	0	1
neg	9.99	1	3	-1	9,9900000	0	-1
neg	-99.5	1	3	-1	99,5000000	1	1
neg	0.0000001	1	3	-1	1	-7	-1
neg	1e21	1	3	-1	1	21	-1
neg	1e100	1	3	-1	100	100	-1
neg	-99999999999999999999.5	1	3	-1	999999,9999999,9999999,5000000	19	1
neg	Infinity	1	3	-1		NaN	-1
neg	-0	1	4	-1	0	0	1
neg	0.5	1	4	-1	5000000	-1	-1
neg	-1.5	1	4	-1	1,5000000	0	1
neg	0.1	1	4	-1	1000000	-1	-1
neg	-9.99	1	4	-1	9,9900000	0	1
neg	9999999.9999999	1	4	-1	9999999,9999999	6	-1
neg	123456.7891011	1	4	-1	123456,7891011	5	-1
neg	1e-21	1	4	-1	1	-21	-1
neg	0.000000000123456789	1	4	-1	12345,6789000	-10	-1
neg	0.99999999999999999999	1	4	-1	9999999,9999999,9999990	-1	-1
neg	-Infinity	1	4	-1		NaN	1
neg	1	1	5	-1	1	0	-1
neg	-0.5	1	5	-1	5000000	-1	1
neg	2.5	1	5	-1	2,5000000	0	-1
neg	-0.1	1	5	-1	1000000	-1	1
neg	99.5	1	5	-1	99,5000000	1	-1
neg	10000000	1	5	-1	1	7	-1
neg	-123456.7891011	1	5	-1	123456,7891011	5	1
neg	5e-324	1	5	-1	500000	-324	-1
neg	99999999999999999999.5	1	5	-1	999999,9999999,9999999,5000000	19	-1
neg	NaN	1	5	-1		NaN	NaN
neg	0	1	6	-1	0	0	-1
neg	-1	1	6	-1	1	0	1
neg	1.5	1	6	-1	1,5000000	0	-1
neg	-2.5	1	6	-1	2,5000000	0	1
neg	9.99	1	6	-1	9,9900000	0	-1
neg	-99.5	1	6	-1	99,5000000	1	1
neg	0.0000001	1	6	-1	1	-7	-1
neg	1e21	1	6	-1	1	21	-1
neg	1e100	1	6	-1	100	100	-1
neg	-99999999999999999999.5	1	6	-1	999999,9999999,9999999,5000000	19	1
neg	Infinity	1	6	-1		NaN	-1
neg	-0	1	7	-1	0	0	1
neg	0.5	1	7	-1	5000000	-1	-1
neg	-1.5	1	7	-1	1,5000000	0	1
neg	0.1	1	7	-1	1000000	-1	-1
neg	-9.99	1	7	-1	9,9900000	0	1
