0	1	4	0
-0	1	4	-0
1	1	4	0.8
-1	1	4	-0.8
0.5	1	4	0.5
-0.5	1	4	-0.5
2	1	4	1
3	1	4	1
10	1	4	1
0.1	1	4	0.1
1e-7	1	4	0.0000001
123456.789	1	4	1
3.141592653589793	1	4	1
1.5707963267948966	1	4	0.9
NaN	1	4	NaN
Infinity	1	4	1
-Infinity	1	4	-1
0.0001	1	4	0.0001
7	1	4	1
-7	1	4	-1
0	5	0	0
-0	5	0	-0
1	5	0	0.7616
-1	5	0	-0.7616
0.5	5	0	0.46212
-0.5	5	0	-0.46212
2	5	0	0.96403
3	5	0	0.99506
10	5	0	1
0.1	5	0	0.099668
1e-7	5	0	0.0000001
123456.789	5	0	1
3.141592653589793	5	0	0.99628
1.5707963267948966	5	0	0.91716
NaN	5	0	NaN
Infinity	5	0	1
-Infinity	5	0	-1
0.0001	5	0	0.0001
7	5	0	1
-7	5	0	-1
0	5	3	0
-0	5	3	-0
1	5	3	0.76159
-1	5	3	-0.7616
0.5	5	3	0.46211
-0.5	5	3	-0.46212
2	5	3	0.96402
3	5	3	0.99505
10	5	3	0.99999
0.1	5	3	0.099667
1e-7	5	3	0.0000001
123456.789	5	3	1
3.141592653589793	5	3	0.99627
1.5707963267948966	5	3	0.91715
NaN	5	3	NaN
Infinity	5	3	1
-Infinity	5	3	-1
0.0001	5	3	0.000099999
7	5	3	0.99999
-7	5	3	-1
0	20	4	0
-0	20	4	-0
1	20	4	0.76159415595576488812
-1	20	4	-0.76159415595576488812
0.5	20	4	0.4621171572600097585
-0.5	20	4	-0.4621171572600097585
2	20	4	0.96402758007581688395
3	20	4	0.99505475368673045133
10	20	4	0.99999999587769276362
0.1	20	4	0.099667994624955817118
1e-7	20	4	0.000000099999999999999666667
123456.789	20	4	1
3.141592653589793	20	4	0.99627207622074994249
1.5707963267948966	20	4	0.91715233566727434332
NaN	20	4	NaN
Infinity	20	4	1
-Infinity	20	4	-1
0.0001	20	4	0.000099999999666666668
7	20	4	0.99999833694394467174
-7	20	4	-0.99999833694394467174
0	20	6	0
-0	20	6	-0
1	20	6	0.76159415595576488812
-1	20	6	-0.76159415595576488812
0.5	20	6	0.4621171572600097585
-0.5	20	6	-0.4621171572600097585
2	20	6	0.96402758007581688395
3	20	6	0.99505475368673045133
10	20	6	0.99999999587769276362
0.1	20	6	0.099667994624955817118
1e-7	20	6	0.000000099999999999999666667
123456.789	20	6	1
3.141592653589793	20	6	0.99627207622074994249
1.5707963267948966	20	6	0.91715233566727434332
NaN	20	6	NaN
Infinity	20	6	1
-Infinity	20	6	-1
0.0001	20	6	0.000099999999666666668
7	20	6	0.99999833694394467174
-7	20	6	-0.99999833694394467174
0	40	1	0
-0	40	1	-0
1	40	1	0.7615941559557648881194582826047935904127
-1	40	1	-0.7615941559557648881194582826047935904127
0.5	40	1	0.4621171572600097585023184836436725487302
-0.5	40	1	-0.4621171572600097585023184836436725487302
2	40	1	0.964027580075816883946413724100923150255
3	40	1	0.9950547536867304513318801852554884750978
10	40	1	0.9999999958776927636195928371382757410508
0.1	40	1	0.09966799462495581711830508367835218353896
1e-7	40	1	0.00000009999999999999966666666666666799999999999
123456.789	40	1	1
3.141592653589793	40	1	0.9962720762207499424900634770347768688365
1.5707963267948966	40	1	0.9171523356672743433185514582011664931206
NaN	40	1	NaN
Infinity	40	1	1
-Infinity	40	1	-1
0.0001	40	1	0.00009999999966666666799999999460317462504409
7	40	1	0.999998336943944671735716415950667112882
-7	40	1	-0.999998336943944671735716415950667112882
